Ticker,Ticker_YF,currentPrice,regularMarketPreviousClose,averageVolume
OUJP11,OUJP11.SA,95.41,94.0,8168
OULG11,OULG11.SA,,28.2,3049
OURE11,OURE11.SA,72.4,72.34,2600
PABY11,PABY11.SA,14.5,14.5,345
PATC11,PATC11.SA,36.95,36.91,11155
PATL11,PATL11.SA,67.86,66.99,9743
PLCR11,PLCR11.SA,90.39,90.43,3750
PLOG11,PLOG11.SA,,,
PORD11,PORD11.SA,91.54,90.74,5808
PQDP11,PQDP11.SA,2050.0,2019.99,58
PRSV11,PRSV11.SA,69.23,69.23,23
PVBI11,PVBI11.SA,,101.79,56452
QAGR11,QAGR11.SA,48.14,48.1,6710
QAMI11,QAMI11.SA,,0.0,1549
RBED11,RBED11.SA,143.31,143.78,1430
RBFF11,RBFF11.SA,63.1,62.75,12773
RBHY11,RBHY11.SA,89.97,89.72,1906
RBOP11,RBOP11.SA,373.0,379.99,150
RBRD11,RBRD11.SA,41.04,41.07,755
RBRF11,RBRF11.SA,8.3,8.28,354957
RBRL11,RBRL11.SA,80.77,79.21,9528
RBRP11,RBRP11.SA,61.96,58.78,24511
RBRR11,RBRR11.SA,92.2,92.47,36891
RBRS11,RBRS11.SA,49.69,49.15,636
RBRY11,RBRY11.SA,99.7,99.87,41097
RBVA11,RBVA11.SA,112.92,112.13,14069
RCRB11,RCRB11.SA,162.18,161.77,5797
RDPD11,RDPD11.SA,,,
RECR11,RECR11.SA,86.99,86.65,31153
RECT11,RECT11.SA,42.19,42.1,12608
RELG11,RELG11.SA,49.69,48.9,4544
RFOF11,RFOF11.SA,79.63,79.55,1155
RINV11,RINV11.SA,112.15,111.85,1662
RNDP11,RNDP11.SA,113.87,114.54,180
RNGO11,RNGO11.SA,48.48,48.18,2263
RPRI11,RPRI11.SA,100.4,100.0,2518
RRCI11,RRCI11.SA,,83.5,483
RVBI11,RVBI11.SA,86.72,85.49,3391
RZAK11,RZAK11.SA,,88.55,26965
RZAT11,RZAT11.SA,,98.0,
SADI11,SADI11.SA,89.08,88.98,3755
SARE11,SARE11.SA,44.85,42.4,32231
SCPF11,SCPF11.SA,3.94,3.93,2231
SDIL11,SDIL11.SA,,96.5,0
SEQR11,SEQR11.SA,56.81,56.88,1562
SHPH11,SHPH11.SA,885.0,890.11,205
SNCI11,SNCI11.SA,97.8,97.0,7476
SNEL11,SNEL11.SA,,147.0,3407
